PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,SECTORS,SUBSECTORS,SEGMENTS
UNIP3,UNIPAR,ON,Basic Materials,Chemicals,Chemicals - Others
UNIP6,UNIPAR,PN,Basic Materials,Chemicals,Chemicals - Others
USIM3,USIMINAS,ON,Basic Materials,Steel and Metalurgy,Steel
USIM5,USIMINAS,PN,Basic Materials,Steel and Metalurgy,Steel
VALE3,VALE,ON,Basic Materials,Mining,Metalic Minerals
VALE5,VALE,PN,Basic Materials,Mining,Metalic Minerals
VIVT3,TELEF BRASIL,ON,Telecommunications,Telecommunications,Telecommunications
VIVT4,TELEF BRASIL,PN,Telecommunications,Telecommunications,Telecommunications
VLID3,VALID,ON,Capital Goods and Services,Diversified Services,Diversified Services
VULC3,VULCABRAS,ON,Consumer Cyclical,"Textiles, Apparel and Footwear",Footwear
VVAR3,VIAVAREJO,ON,Consumer Cyclical,Retail,Electronics and Household Appliance
VVAR4,VIAVAREJO,PN,Consumer Cyclical,Retail,Electronics and Household Appliance
WEGE3,WEG,ON,Capital Goods and Services,Machines and Equipments,"Motors, Compressors and Others"
WHRL3,WHIRLPOOL,ON,Consumer Cyclical,Household Products,Household Appliance
WHRL4,WHIRLPOOL,PN,Consumer Cyclical,Household Products,Household Appliance
WIZS3,WIZ S.A.,ON,Financial,"Insurance, Life and Multi-line",Insurance Brokers
WLMM4,WLM IND COM,PN,Capital Goods and Services,Retail,Transportation Material
